CVEGEO,NOMGEO,homicidio_doloso_2025,robo_veh_violencia_2025,n_inseguro_popw
01005,Jesús María,15,15.999999999999977,48465.88493
01008,San José de Gracia,0.9999999999999999,0.9999999999999999,NA
01001,Aguascalientes,40.99999999999976,46.99999999999992,264703.231
01004,Cosío,1.9999999999999998,6.999999999999991,NA
01011,San Francisco de los Romo,5,5,18028.05971
01006,Pabellón de Arteaga,7.99999999999997,2.9999999999999996,18977.92383
01003,Calvillo,0,1.9999999999999998,14514.80605
01010,El Llano,3.999999999999985,1.9999999999999998,5945.389875
01002,Asientos,2.9999999999999996,10,20111.86968
01009,Tepezalá,0.9999999999999999,0.9999999999999999,NA
01007,Rincón de Romos,5.999999999999978,1.9999999999999998,21933.69174
02003,Tecate,58.99999999999987,25.999999999999975,52720.2135
02004,Tijuana,1072.9999999999998,556.9999999999985,1012248.123
02001,Ensenada,93.99999999999984,52.99999999999971,219840.2153
02006,San Quintín,50,5.999999999999978,48279.41006
02007,San Felipe,25.999999999999975,0,NA
02002,Mexicali,173.9999999999999,198.99999999999972,518145.6518
02005,Playas de Rosarito,53.99999999999998,33.99999999999998,31899.62976
03002,Mulegé,15,0.9999999999999999,19597.19465
03009,Loreto,18.999999999999982,0,3545.73886
03008,Los Cabos,20.99999999999998,5.999999999999978,77779.14018
03003,La Paz,15,5.999999999999978,66914.68067
03001,Comondú,42.99999999999993,0.9999999999999999,17426.01162
04003,Carmen,25.999999999999975,2.9999999999999996,118215.2575
04007,Palizada,0.9999999999999999,0,3097.511628
04013,Dzitbalché,0.9999999999999999,0,NA
04005,Hecelchakán,0.9999999999999999,0,12196.71541
04004,Champotón,16.99999999999999,1.9999999999999998,37736.6081
04011,Candelaria,10.999999999999977,0.9999999999999999,18739.13108
04012,Seybaplaya,5.999999999999978,0,6344.021824
04002,Campeche,23.999999999999982,0.9999999999999999,135011.9563
04006,Hopelchén,0.9999999999999999,0,12115.87957
04001,Calkiní,0.9999999999999999,0,23887.4634
04010,Calakmul,5.999999999999978,0.9999999999999999,10582.82452
04009,Escárcega,5.999999999999978,0,26721.86405
04008,Tenabo,0,0.9999999999999999,4020.05822
05005,Candela,0,0,NA
05017,Matamoros,1.9999999999999998,0.9999999999999999,32504.76207
05018,Monclova,5,0,53254.96925
05014,Jiménez,0,0,NA
05035,Torreón,15.999999999999977,35,223177.5609
05013,Hidalgo,0.9999999999999999,0,NA
05015,Juárez,0,0,NA
05020,Múzquiz,5,0,29983.9802
05024,Parras,0,0,3689.258865
05026,Progreso,0,0,NA
05027,Ramos Arizpe,2.9999999999999996,0,26681.84158
05025,Piedras Negras,12.99999999999997,1.9999999999999998,28902.26213
05028,Sabinas,0.9999999999999999,0,18596.10083
05030,Saltillo,12.99999999999997,2.9999999999999996,221044.3905
05031,San Buenaventura,0,0,NA
05016,Lamadrid,0,0,NA
05004,Arteaga,0.9999999999999999,0,9596.70775
05002,Acuña,3.999999999999985,1.9999999999999998,10327.45313
05032,San Juan de Sabinas,0.9999999999999999,0,8470.409421
05033,San Pedro,2.9999999999999996,0,36991.94378
05009,Francisco I. Madero,0,0,19039.02703
05012,Guerrero,0,0,NA
05006,Castaños,0.9999999999999999,0.9999999999999999,6621.142587
05003,Allende,0,0,2003.557277
05023,Ocampo,0,0,NA
05008,Escobedo,0,0,NA
05022,Nava,2.9999999999999996,0,6089.791721
05019,Morelos,0,0,NA
05007,Cuatro Ciénegas,0,0,NA
05034,Sierra Mojada,0,0,NA
05037,Villa Unión,0,0,NA
05029,Sacramento,0,0,NA
05001,Abasolo,0,0,68.81621725
05038,Zaragoza,0,0,NA
05021,Nadadores,0.9999999999999999,0,NA
05010,Frontera,1.9999999999999998,0,16137.71131
05011,General Cepeda,0,0,NA
05036,Viesca,0.9999999999999999,0,5282.070384
06006,Ixtlahuacán,0,0,2307.841391
06002,Colima,137.99999999999966,0,93724.55725
06005,Cuauhtémoc,28.999999999999982,0,14935.58968
06008,Minatitlán,1.9999999999999998,0,3902.235607
06001,Armería,20,0,13055.05493
06004,Coquimatlán,11.999999999999991,0,11133.75382
06010,Villa de Álvarez,89.99999999999984,0,82369.17279
06003,Comala,10.999999999999977,0,10062.1324
06007,Manzanillo,240.99999999999974,0,101536.0115
06009,Tecomán,13.999999999999982,0,56593.38341
07019,Comitán de Domínguez,5,5.999999999999978,68944.78119
07090,Tapalapa,0,0,1981.185178
07020,La Concordia,0.9999999999999999,0.9999999999999999,NA
07021,Copainalá,0,0,8431.94964
07079,San Fernando,0.9999999999999999,0.9999999999999999,18642.40317
07109,Yajalón,0,0.9999999999999999,10258.14135
07108,Villaflores,7.99999999999997,2.9999999999999996,61824.311780000004
07107,Villa Corzo,7.99999999999997,0.9999999999999999,NA
07106,Venustiano Carranza,0.9999999999999999,0,26664.54207
07104,Tzimol,0,0.9999999999999999,NA
07103,Tuzantán,5.999999999999978,1.9999999999999998,NA
07102,Tuxtla Chico,7.99999999999997,0,17825.9932
07101,Tuxtla Gutiérrez,20.99999999999998,18.999999999999982,310161.2246
07120,Capitán Luis Ángel Vidal,0,0,NA
07074,Reforma,5,3.999999999999985,25499.51328
